Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Alightings
Dale EB at Walmart (no number),"2,994.00"
Dale NB at 6th (no number),63.00
Dale NB at Clyde (no number),41.00
Dale SB at 6th (no number),4.00
Dale WB at 13th (no number),740.00
Dale WB at 19th (no number),521.00
Dale WB at 8th (no number),158.00
Dale WB at Fallon Park (no number),8.00
Dale WB at Vernon (no number),370.00
Denniston SB at Hampton (no number),5.00
Denniston SB at Maiden (no number),57.00
Denniston SB at Westover (no number),8.00
Downtown Market (1701),"2,884.00"
Dunkirk SB at Clyde (no number),5.00
Dunkirk SB at Gus Nicks (no number),142.00
E Main EB at Park (no number),58.00
E Main WB at Dalewood (no number),469.00
East Main EB at Lakeside Plaza (no number),"2,489.00"
East Main EB at Parkdale (no number),28.00
East Main EB at Pinehurst (no number),11.00
East Main EB at Wortham (no number),240.00
East Main WB at Brand (no number),878.00
East Main WB at College (no number),"2,435.00"
East Main WB at Craig (no number),"1,827.00"
East Main WB at Lakeside Plaza (Goodwill) (no number),"11,814.00"
East Main WB at Lynchburg (no number),267.00
East Main WB at Parkdale (no number),71.00
Edgewood EB at Malvern (no number),15.00
Edgewood NB at Brandon (Family Dollar) (no number),259.00
Edgewood NB at Westover (no number),204.00
Edgewood NB at Windsor (no number),141.00
Edgewood SB at Westover (no number),"1,490.00"
Edgewood SB at Windsor (no number),33.00
Edgewood WB at Malvern (no number),128.00
Edgewood WB at Shell Station (no number),"2,758.00"
Electric NB at Indiana/Midland (no number),255.00
Electric NB at Lancing (no number),216.00
Electric NB at Tanglewood Mall Driveway (Copper Croft Apartments) (no number),318.00
Electric Road at Tanglewood Mall (no number),"2,134.00"
Elm Ave at 2nd St (no number),"1,450.00"
Elm Ave at 2nd St WB (no number),194.00
Elm EB at 4th (no number),423.00
Elm EB at Jefferson (Community Hospital) (no number),822.00
Elm WB at 4th (no number),"2,776.00"
Elm WB at Jefferson (no number),776.00
End of Thirlane (Airport) (no number),38.00
Exit 118 - Park and Ride (no number),"4,960.00"
Exit 140 -Park and Ride (no number),"4,030.00"
Fauquier NB at Denniston (no number),255.00
Fauquier SB at Denniston (no number),430.00
Fauquier SB at Memorial (no number),98.00
Ferncliff at Ferncliff Apartments (no number),"3,512.00"
Ferncliff at Hoback (no number),"2,264.00"
Ferncliff at Routt (no number),294.00
Ferncliff at William Fleming High School (no number),"2,575.00"
Fleetwood NB at Ashby (no number),10.00
Floraland EB at Grandview (no number),91.00
Floraland WB at Grandview (no number),101.00
Floraland WB at Huff (no number),101.00
Franklin EB at Broadway Ave (no number),316.00
Franklin EB at Earth Fare (no number),110.00
Franklin NB at Beechwood (no number),74.00
Franklin NB at BMW (no number),217.00
Franklin NB at Burger King (no number),585.00
Franklin NB at Day (no number),769.00
Franklin NB at Edinburgh (River's Edge Sports Complex) (no number),42.00
Franklin NB at Highland (no number),453.00
Franklin NB at Mountain (no number),507.00
Franklin NB at Penarth (no number),741.00
Franklin NB at Public Storage (no number),36.00
Franklin NB at Reserve (no number),69.00
Franklin NB at Townside Festival Shopping Center (Dunkin Donuts) (no number),684.00
Franklin NB at Transmission America (no number),10.00
Franklin NB at Walnut (no number),218.00
Franklin NB at Willow Oak (no number),27.00
Franklin NB at Woods (no number),431.00
Franklin Road at Avenham  (no number),21.00
Franklin SB at 220N On-Ramp (BP station) (no number),938.00
Franklin SB at Albemarle (no number),"1,529.00"
Franklin SB at Avenham (no number),285.00
Franklin SB at Beechwood (no number),55.00
Franklin SB at Day (no number),497.00
Franklin SB at Edinburgh (Ramada Inn) (no number),548.00
Franklin SB at Highland (no number),675.00
Franklin SB at Public Storage (no number),645.00
Franklin SB at Reserve (no number),"1,889.00"
Franklin SB at Roberts (Carilion Laundry) (no number),"1,288.00"
Franklin SB at Talecris Plasma (no number),"3,070.00"
Franklin SB at Townside Festival Shopping Center (no number),"2,332.00"
Franklin SB at Transmission America (no number),41.00
Franklin SB at Woods (no number),"1,849.00"
Franklin WB at Carilion Orthopedic (no number),"1,413.00"
Franklin WB at Earth Fare (no number),646.00
Franklin WB at Jefferson (no number),"1,455.00"
Gainsboro at Loudon (no number),421.00
Gainsboro at Patton (no number),"1,208.00"
Gainsboro NB at Harrison (Our Lady of the Valley) (no number),110.00
Gainsboro NB at Madison (no number),961.00
Gainsboro SB at Loudon (no number),167.00
Gainsboro SB at Madison (no number),551.00
Gainsboro SB at Wells (no number),636.00
Garden City NB at Carico (Garden City Elementary) (no number),106.00
Garden City NB at Craig Robertson (no number),46.00
Garden City NB at Davenport/Ivywood (no number),0.00
Garden City NB at Findlay (no number),1.00
Garden City NB at Ray (no number),6.00
Garden City NB at Thomason (no number),0.00
Garden City SB at Craig Robertson (no number),1.00
Garden City SB at Davenport/Ivywood (no number),26.00
Garden City SB at Gearhart (no number),34.00
Garden City SB at Hartsook (no number),22.00
Garden City SB at Ray (no number),573.00
Garden City SB at Thomason (no number),6.00
Grandin NB at Avenel (Patrick Henry High School) (no number),"2,676.00"
Grandin NB at Maiden (no number),42.00
Grandin NB at Memorial (Grandin Theatre) (no number),175.00
Grandin NB at Sherwood (no number),37.00
Grandin NB at Windsor (no number),108.00
Grandin Rd at Carter Rd (no number),217.00
Grandin SB at Brandon (no number),475.00
Grandin SB at Maiden (no number),"1,106.00"
Grandin SB at Memorial (Natural Foods Co-op) (no number),"1,199.00"
Grandin SB at Sherwood (no number),"1,572.00"
Grandin SB at Windsor (no number),916.00
Grandview NB at Edinburgh (no number),399.00
Grandview NB at Marr (no number),"1,465.00"
Grandview NB at Vancouver (no number),98.00
Grandview SB at Edinburgh (no number),112.00
Grandview SB at Hershberger (no number),"1,604.00"
Grandview SB at Marr (no number),266.00
Grandview SB at Vancouver (no number),67.00
Greenbrier EB at Clinton (no number),346.00
Greenland NB at 10th (no number),303.00
Greenland NB at Cumberland (no number),20.00
Greenland NB at Maycrest (no number),94.00
Greenland NB at Northminster (no number),"2,308.00"
Greenland NB at Oakland (no number),176.00
Greenland SB at 10th (no number),227.00
Greenland SB at Avalon (no number),99.00
Greenland SB at Cumberland (no number),61.00
Greenland SB at Oakland (no number),75.00
Gus Nicks NB at Eastern (no number),645.00
Gus Nicks NB at Orange (no number),902.00
Gus Nicks SB at Eastern (no number),379.00
Gus Nicks SB at King (no number),66.00
Gus Nicks SB at Orange (no number),161.00
Hardy EB at Kroger (no number),250.00
Hardy WB at Bedford (no number),"4,458.00"
Hardy WB at Bypass (CVS) (no number),36.00
Harper Hall  (no number),"2,332.00"
Hershberger at Ordway (U-haul) (no number),"1,155.00"
Hershberger EB at Bean (no number),126.00
Hershberger EB at Bluebell (Friendship Manor) (no number),67.00
Hershberger EB at Eden (no number),169.00
Hershberger EB at Hazelridge (no number),19.00
Hershberger EB at Hubert/Winsloe (no number),70.00
Hershberger EB at Plantation (Skate Center) (no number),127.00
Hershberger EB at Williamson (Shell station) (no number),112.00
Hershberger EB at Williamson (Walgreen's) (no number),72.00
Hershberger WB at Bean (McDonalds) (no number),"5,942.00"
Hershberger WB at Bluebell (Friendship Manor) (no number),331.00
Hershberger WB at Cove (Valley View Garden Apartments) (no number),518.00
Hershberger WB at Fairhope (no number),30.00
Hershberger WB at Friends (Friendship Manor) (no number),"1,531.00"
Hershberger WB at Hazelridge (no number),161.00
Hershberger WB at Hubert/Winsloe (no number),"1,545.00"
Hershberger WB at Plantation (Edinburgh Square) (no number),464.00
Hershberger WB at Prestige Motors (no number),317.00
Hershberger WB at Rutgers (Krispy Kreme)) (no number),"2,583.00"
Hershberger WB at Westside (no number),854.00
Hershberger WB at Williamson (Radio Shack) (no number),"1,438.00"
Hoback at Big Lots parking lot (no number),"1,163.00"
Hollins EB at Plantation (no number),149.00
Hollins NB at Mason Mill (no number),52.00
Hollins NB at Missouri (no number),69.00
Hollins NB at Mohawk (no number),303.00
Hollins NB at Norton (no number),"2,111.00"
Hollins NB at Old Mountain (no number),3.00
Hollins NB at Orange (Car Wash) (no number),472.00
Hollins NB at Pearl (no number),43.00
Hollins NB at Shull (no number),24.00
Hollins SB at Liberty (no number),600.00
Hollins SB at Mason Mill (no number),12.00
Hollins SB at Missouri (no number),9.00
Hollins SB at Mohawk (no number),36.00
Hollins SB at Old Mountain (no number),37.00
Hollins SB at Orange (no number),320.00
Hollins SB at Pearl (no number),11.00
Hollins SB at Riley (no number),37.00
Hollins SB at Shull (no number),12.00
Hollins WB at Plantation (no number),"1,517.00"
Huff NB at Floraland (no number),981.00
Hunt EB at 8th (no number),"1,045.00"
Hunt EB at Liberty (no number),739.00
Hunt WB at 10th (no number),"1,128.00"
Hunt WB at 8th (no number),"2,331.00"
Hunt WB at Liberty (no number),"1,561.00"
Integrated Life Sciences Building (no number),"1,625.00"
Jamison EB at 14th (no number),"1,520.00"
Jamison WB at 10th (no number),804.00
Jamison WB at 12th (no number),838.00
Jamison WB at 4th St (no number),243.00
Jamison WB at 6th St (no number),20.00
Jamison WB at 8th St (no number),123.00
Jefferson & Bullitt (1703),"2,248.00"
Jefferson & Bullitt (Northbound) (1711),"4,788.00"
Jefferson & Kirk  (1702),930.00
Jefferson & Luck (1712),"3,305.00"
Jefferson & Mountain (1704),"1,717.00"
Jefferson & Reserve (Southbound) (1706),"4,929.00"
Jefferson & Walnut (1714),"1,314.00"
Jefferson & Walnut (1715),"1,616.00"
Jefferson at Albermarle (1717),351.00
Jefferson NB at Albemarle (no number),232.00
Jefferson NB at Reid (no number),784.00
Jefferson SB at Albemarle (no number),473.00
Jefferson SB at Bullitt (no number),"3,226.00"
Jefferson SB at Luck (no number),"2,101.00"
Jefferson SB at Marion (Breast Cancer Center) (no number),"1,162.00"
Jefferson SB at McClanahan (no number),320.00
Keagy NB at Apperson (McDonalds) (no number),44.00
Keagy SB at Apperson (McDonalds) (no number),"1,203.00"
Kenwood EB at 17th (no number),66.00
Kenwood WB at 14th (no number),29.00
Kenwood WB at 15th (no number),1.00
Kenwood WB at 17th (no number),1.00
Kimball NB at 4th (no number),125.00
Kimball NB at Orange (no number),478.00
Kimball NB at Rutherford (Roanoke Gas) (no number),90.00
Kimball SB at 4th (no number),40.00
Kimball SB at McDowell (no number),169.00
Kimball SB at Rutherford (no number),69.00
King Charles SB at Pike (no number),339.00
King NB at Gus Nicks (no number),580.00
Kraft at Research Center (no number),27.00
Kraft Drive at Pratt (no number),97.00
Lafayette NB at Florida (no number),505.00
Lafayette NB at Massachusetts (no number),"1,285.00"
Lafayette NB at New York (no number),"2,330.00"
Lafayette SB at Florida (no number),51.00
Lafayette SB at Massachusetts (no number),135.00
Lafayette SB at New York (no number),155.00
Laurel St (no number),"1,647.00"
Lewis Gale Medical Center (no number),"7,253.00"
Liberty NB at Dupree (no number),"1,922.00"
Liberty SB at Dupree (Lincoln Terrace Elementary) (no number),"1,162.00"
Life Sciences (no number),408.00
Litton Reeves (no number),13.00
Loudon EB at 10th (no number),165.00
Loudon EB at 12th (no number),141.00
Loudon EB at 14th (no number),194.00
Loudon EB at 16th (no number),206.00
Loudon EB at 18th (no number),68.00
Loudon EB at 20th (no number),79.00
Loudon EB at 22nd (no number),19.00
Loudon WB at 10th (no number),674.00
Loudon WB at 12th (no number),890.00
Loudon WB at 14th (no number),"1,252.00"
Loudon WB at 16th (no number),510.00
Loudon WB at 18th (no number),461.00
Loudon WB at 20th (no number),290.00
Loudon WB at 22nd (no number),296.00
Madison at 10th (no number),558.00
Madison at 8th (no number),851.00
Maiden WB at Bluemont (no number),899.00
Maiden WB at Denniston (no number),195.00
Main NB at Howbert (no number),146.00
Main NB at Kerns (no number),26.00
Main NB at Summit (no number),14.00
Main NB at Windsor (no number),75.00
Main SB at Howbert (no number),876.00
Main SB at Kerns (no number),79.00
Main SB at Summit (no number),73.00
Main SB at Windsor (no number),380.00
Marr EB at Rutgers (no number),840.00
Marshall Ave at 8th St (no number),"2,346.00"
McClanahan at Crystal Spring Ave (1718),"5,058.00"
McClanahan EB at Jefferson (no number),29.00
McClanahan EB at Rosalind (no number),156.00
McClanahan NB at Fresenius Dialysis Center (no number),230.00
McClanahan SB at Fresenius Dialysis Center (no number),44.00
McClanahan WB at Rosalind (no number),757.00
McDowell  at 6th (no number),554.00
McDowell at 5th (no number),829.00
McDowell at 6th (Blue Ridge Behavioral Health) (no number),"4,218.00"
Melrose at 15th St (Melrose Park) (no number),614.00
Melrose EB at 12th (no number),789.00
Melrose EB at 18th (no number),"1,073.00"
Melrose EB at 20th (no number),993.00
Melrose EB at 23rd (no number),511.00
Melrose EB at 35th (no number),581.00
Melrose EB at Fentress (no number),295.00
Melrose EB at Forest Park (no number),"1,263.00"
Melrose EB at Gun Club (no number),164.00
Melrose EB at Lafayette (Goodwill) (no number),814.00
Melrose EB at Monroe (no number),970.00
Melrose EB at Old Country Club (Burger King) (no number),470.00
Melrose EB at Peck (no number),169.00
Melrose EB at Peters Creek (Uhaul) (no number),664.00
Melrose EB at Van Buren (no number),191.00
Melrose EB at Victoria (Melrose Towers) (no number),"1,926.00"
Melrose EB at Westside (no number),256.00
Melrose EB near Country Club (opposite ABC store) (no number),348.00
Melrose WB at 12th (no number),"1,208.00"
Melrose WB at 14th (no number),626.00
Melrose WB at 16th (no number),805.00
Melrose WB at 18th (no number),"2,475.00"
Melrose WB at 20th (no number),"1,773.00"
Melrose WB at 23rd (no number),"1,533.00"
Melrose WB at 35th (no number),"3,873.00"
Melrose WB at Bellevue (no number),102.00
Melrose WB at Comer (no number),"2,430.00"
Melrose WB at Fentress (no number),"1,884.00"
Melrose WB at Forest Park (no number),"1,703.00"
Melrose WB at Gun Club (no number),95.00
Melrose WB at Lafayette (opposite Goodwill) (no number),926.00
Melrose WB at Old Country Club (no number),646.00
Melrose WB at Otter (no number),"2,381.00"
Melrose WB at Palmetto (no number),"1,062.00"
Melrose WB at Peck (no number),760.00
Melrose WB at Pilot (no number),"2,455.00"
Melrose WB at Victoria (no number),"4,439.00"
Melrose WB at Westside (no number),"1,646.00"
Melrose WB near Country Club (ABC Store) (no number),"1,841.00"
Memorial EB at Brunswick (no number),80.00
Memorial EB at Fauquier (no number),74.00
Memorial EB at Oxford (no number),82.00
Memorial EB at Winborne (no number),443.00
Memorial WB at Amherst (Virginia Heights Elementary) (no number),"1,092.00"
Memorial WB at Brunswick (no number),277.00
Memorial WB at Chesterfield (no number),161.00
Memorial WB at Oxford (no number),515.00
Memorial WB at Wasena (no number),308.00
Memorial WB at Winborne (no number),"1,368.00"
Montrose WB at 13th (no number),77.00
Moorman EB at 10th (no number),247.00
Moorman EB at 7th (no number),528.00
Moorman EB at 8th (no number),"1,134.00"
Moorman EB at 9th (no number),210.00
Moorman WB at 10th (no number),367.00
Moorman WB at 11th (no number),686.00
Moorman WB at 7th (no number),495.00
Moorman WB at 8th (no number),774.00
